# 感染拡大前比	東京都 立川駅	東京都 銀座	東京都 東京駅南	東京都 新宿駅	東京都 丸の内	東京都 霞が関	東京都 羽田空港 第1ターミナル	東京都 渋谷センター街	東京都 大手町	東京都 品川駅	東京都 羽田空港 第2ターミナル	東京都 東京駅
2020/07/08	-14.8714285714286	-18.4857142857143	-36.7285714285714	-23.6428571428571	-43.5428571428571	-30.8428571428571	-37.3714285714286	-29.8714285714286	-42.5857142857143	-40.0285714285714	-54.8857142857143	-42.4142857142857
2020/07/09	-14.9	-18.6571428571429	-36.9285714285714	-24.1142857142857	-43.7714285714286	-30.9571428571429	-38.0142857142857	-30.2	-42.7714285714286	-40.6428571428571	-55.7	-42.7428571428571
2020/07/10	-15.5285714285714	-18.9142857142857	-36.9428571428571	-24.7142857142857	-43.8428571428571	-30.8285714285714	-38.5428571428571	-30.9	-42.7714285714286	-41.0571428571429	-55.8571428571429	-42.8142857142857
2020/07/11	-15.2428571428571	-19.0571428571429	-36.9571428571429	-24.7857142857143	-43.9857142857143	-30.8428571428571	-38.9428571428571	-30.9428571428571	-42.8142857142857	-41.3857142857143	-55.6428571428571	-42.8142857142857
2020/07/12	-15.5571428571429	-19.1571428571429	-36.9	-25.1142857142857	-44.0142857142857	-30.5571428571429	-38.7428571428571	-31.0285714285714	-42.7	-41.4285714285714	-56.0285714285714	-42.8285714285714
2020/07/13	-15.9714285714286	-18.5714285714286	-36.4428571428571	-25.3	-43.5428571428571	-30	-38.5571428571429	-31.1428571428571	-42.4285714285714	-41.1571428571429	-55.4142857142857	-42.7142857142857
2020/07/14	-15.8285714285714	-18.6714285714286	-36.4	-25.3714285714286	-43.7142857142857	-30	-37.9142857142857	-30.9857142857143	-42.5	-41.3142857142857	-54.6428571428571	-42.8
2020/07/15	-16.2857142857143	-19.0428571428571	-36.7428571428571	-26.3285714285714	-43.9857142857143	-29.6714285714286	-37.8	-31.3428571428571	-42.5	-41.7285714285714	-54.9428571428571	-42.8142857142857
2020/07/16	-15.7714285714286	-19.0714285714286	-36.6142857142857	-26.3571428571429	-43.9857142857143	-29.7	-37.7142857142857	-31.4571428571429	-42.5	-41.7142857142857	-54.4571428571429	-42.6142857142857
2020/07/17	-15.6	-19.2	-36.6428571428571	-26.5142857142857	-43.9857142857143	-29.5428571428571	-37.6857142857143	-31.5	-42.7285714285714	-41.7142857142857	-53.1428571428571	-42.8142857142857
2020/07/18	-15.8142857142857	-19.4428571428571	-36.9571428571429	-27.1	-44.0714285714286	-29.6428571428571	-37.8	-31.9	-43.0142857142857	-41.9285714285714	-53.5	-42.9857142857143
2020/07/19	-16.1571428571429	-20.2142857142857	-37.6142857142857	-28.0285714285714	-44.8571428571429	-30.8714285714286	-38.4	-32.5857142857143	-43.1714285714286	-42.4142857142857	-52.6	-43.4857142857143
2020/07/20	-16.2	-20.4857142857143	-37.9428571428571	-28.6142857142857	-44.8857142857143	-30.4571428571429	-37.8142857142857	-32.8428571428571	-43.4571428571429	-43.1142857142857	-52.8714285714286	-44.0142857142857
2020/07/21	-15.9	-20.2857142857143	-37.8857142857143	-28.7	-44.7	-30.4571428571429	-37.9857142857143	-32.8571428571429	-43.5285714285714	-42.9714285714286	-53.6571428571429	-44.1428571428571
2020/07/22	-15.1285714285714	-20.1285714285714	-37.8714285714286	-28.5	-44.7142857142857	-30.3857142857143	-37.7142857142857	-32.6	-43.7	-42.5857142857143	-52.7285714285714	-44.2
2020/07/23	-14.8	-19.9714285714286	-37.8714285714286	-28.5714285714286	-44.7	-30.4571428571429	-35.8	-32	-43.6714285714286	-42.5285714285714	-51.2285714285714	-44.0285714285714
2020/07/24	-16.9	-19.2	-38.5142857142857	-30.8142857142857	-43.6857142857143	-28.5	-33.7571428571429	-33.7857142857143	-40.9571428571429	-42.2428571428571	-50.1285714285714	-44.6571428571429
2020/07/25	-18.7	-18.0857142857143	-38.8142857142857	-32.5142857142857	-42.7428571428571	-25.7857142857143	-33.8	-35.4714285714286	-38.0142857142857	-41.7857142857143	-50.2142857142857	-45.6571428571429
2020/07/26	-18.9285714285714	-19.2571428571429	-39.2	-32.8571428571429	-42.6285714285714	-26.1285714285714	-32.6857142857143	-35.8285714285714	-39	-42.1142857142857	-50.1142857142857	-45.7571428571429
2020/07/27	-19.3	-20.1857142857143	-39.6571428571429	-33.4142857142857	-42.9714285714286	-27.1857142857143	-30.3714285714286	-36.1857142857143	-39.2428571428571	-41.7428571428571	-48.4571428571429	-44.9571428571429
2020/07/28	-19.4	-20.5857142857143	-39.9857142857143	-33.4571428571429	-43.0142857142857	-27.3571428571429	-29.6142857142857	-36.1857142857143	-39.2285714285714	-42.0428571428571	-48.1428571428571	-44.9142857142857
2020/07/29	-19.8857142857143	-20.7142857142857	-39.9142857142857	-33.6714285714286	-43.0571428571429	-27.3142857142857	-30.1714285714286	-36.4142857142857	-39.2714285714286	-42.6142857142857	-48.3	-44.9428571428571
2020/07/30	-20.3857142857143	-21.5285714285714	-40.3285714285714	-34.1428571428571	-43.3285714285714	-27.2571428571429	-32.2285714285714	-37.0428571428571	-39.5714285714286	-43.2571428571429	-48.8571428571429	-45.4714285714286
2020/07/31	-18.1714285714286	-22.4	-39.9714285714286	-32.2571428571429	-44.6142857142857	-29.6857142857143	-34.8	-35.2285714285714	-42.6428571428571	-44.0714285714286	-50.0571428571429	-44.9857142857143
2020/08/01	-15.9	-23.6142857142857	-39.7428571428571	-30.3571428571429	-45.6	-32.4571428571429	-34.3285714285714	-33.3857142857143	-45.6142857142857	-44.6142857142857	-49.0428571428571	-44.3714285714286
2020/08/02	-15.8428571428571	-21.9571428571429	-39.1142857142857	-29.7857142857143	-45.1	-31.4428571428571	-33.6714285714286	-32.9857142857143	-44.7142857142857	-43.7857142857143	-48.4285714285714	-44.3857142857143
2020/08/03	-15.7	-21.2857142857143	-39.0714285714286	-29.4285714285714	-44.9285714285714	-31.7	-36.2142857142857	-32.7857142857143	-44.7285714285714	-44.2285714285714	-49.6571428571429	-44.9857142857143
2020/08/04	-15.4714285714286	-21	-39.3285714285714	-29.5	-45.0285714285714	-31.8714285714286	-36.7714285714286	-32.7	-45.0142857142857	-44.0285714285714	-49.2714285714286	-45.1285714285714
2020/08/05	-14.9	-20.8857142857143	-39.6285714285714	-29.4714285714286	-45.3714285714286	-32.2714285714286	-36.4857142857143	-32.9	-45.4428571428571	-44.0142857142857	-49.0714285714286	-45.2857142857143
2020/08/06	-14.3714285714286	-20.5714285714286	-39.7428571428571	-29.1857142857143	-45.6285714285714	-32.7857142857143	-36.1	-32.9	-45.8285714285714	-43.7714285714286	-49.2428571428571	-45.2857142857143
2020/08/07	-14.2571428571429	-20.5	-39.9285714285714	-28.9714285714286	-45.9428571428571	-33.2	-34.7285714285714	-32.7857142857143	-46.0285714285714	-43.6714285714286	-48.4	-45.2428571428571
2020/08/08	-14.4	-20.5714285714286	-40.1571428571429	-28.8285714285714	-46.3857142857143	-33.8857142857143	-32.5	-32.4857142857143	-46.6428571428571	-44.1142857142857	-47.1714285714286	-46.7428571428571
2020/08/09	-14.4285714285714	-20.6714285714286	-39.9	-28.8428571428571	-46.1285714285714	-34.4857142857143	-31.6714285714286	-32.3428571428571	-47.4857142857143	-44.3285714285714	-45.8142857142857	-48.5571428571429
2020/08/10	-13.9714285714286	-20.1142857142857	-36.1714285714286	-28.3285714285714	-42.6857142857143	-34.1285714285714	-30.3857142857143	-32.3714285714286	-47.2	-44.0857142857143	-44.5	-50.2
2020/08/11	-16.1428571428571	-19.5571428571429	-33.5428571428571	-29.8285714285714	-39.0714285714286	-33.5714285714286	-30.3428571428571	-34.3142857142857	-45.3142857142857	-44.2428571428571	-44.4857142857143	-53.0714285714286
2020/08/12	-15.6428571428571	-21.3285714285714	-33.4714285714286	-29.8857142857143	-39.0428571428571	-34.9	-29.5571428571429	-34.0857142857143	-46.1	-46.2857142857143	-43.7571428571429	-55.1714285714286
2020/08/13	-15.9142857142857	-23.2285714285714	-33.8571428571429	-30.4	-39.0714285714286	-36.7142857142857	-28.5285714285714	-34.1142857142857	-47.2714285714286	-48.7	-42.6285714285714	-57.5142857142857
2020/08/14	-15.9428571428571	-25.7714285714286	-34.3714285714286	-30.8714285714286	-39.2142857142857	-38.5714285714286	-29.2142857142857	-34.1142857142857	-48.8142857142857	-51.3	-42.6	-60.0428571428571
2020/08/15	-15.4	-28.2	-34.6571428571429	-31.2	-39.2285714285714	-40.3142857142857	-31.2285714285714	-34.3285714285714	-50.3571428571429	-53.6428571428571	-42.6285714285714	-61.0428571428571
2020/08/16	-15.3714285714286	-29.2571428571429	-33.1285714285714	-31.2571428571429	-37.1285714285714	-41.4142857142857	-32.2857142857143	-34.7714285714286	-51.4857142857143	-54.5285714285714	-43.0857142857143	-61.4714285714286
2020/08/17	-15.9285714285714	-30.4714285714286	-34.7	-31.8428571428571	-38.0714285714286	-42.5571428571429	-31.5	-34.9142857142857	-52.2857142857143	-54.4	-41.8428571428571	-61.9
2020/08/18	-14.4142857142857	-31.6714285714286	-36.6857142857143	-30.4714285714286	-41.5857142857143	-44.4285714285714	-30.5	-32.7571428571429	-55.0285714285714	-54.8142857142857	-41.2428571428571	-61.0428571428571
2020/08/19	-14.7571428571429	-30.4857142857143	-35.7714285714286	-30.4428571428571	-41.0857142857143	-43.6857142857143	-30.8142857142857	-32.6	-54.5714285714286	-53.2714285714286	-41.1142857142857	-60.5571428571429
2020/08/20	-14.2857142857143	-28.5857142857143	-34.2285714285714	-29.8142857142857	-40.1142857142857	-42.3285714285714	-31.2285714285714	-32.0857142857143	-53.6285714285714	-51.0571428571429	-41.3428571428571	-59.8857142857143
2020/08/21	-14.2428571428571	-26.3571428571429	-32.5142857142857	-29.1571428571429	-39.0428571428571	-40.6285714285714	-31.0571428571429	-31.7285714285714	-52.3285714285714	-48.8571428571429	-41.9571428571429	-58.9857142857143
2020/08/22	-14.3285714285714	-23.9428571428571	-30.8285714285714	-28.7142857142857	-37.9857142857143	-38.8571428571429	-30.8	-31.3428571428571	-50.9285714285714	-46.1571428571429	-43.0571428571429	-58.0428571428571
2020/08/23	-14.1285714285714	-22.5857142857143	-29.4857142857143	-28.0428571428571	-36.6428571428571	-37	-31.3857142857143	-30.3714285714286	-49.3571428571428	-44.7	-44.2142857142857	-57.5428571428571
2020/08/24	-14.2714285714286	-21.9285714285714	-29.0857142857143	-27.5428571428571	-36.0714285714286	-35.1285714285714	-32.9142857142857	-30.0142857142857	-48.6	-44.1285714285714	-46.4285714285714	-57.3571428571429
2020/08/25	-13.4285714285714	-21.2571428571429	-28.3714285714286	-26.8285714285714	-35.5428571428571	-34.2142857142857	-34.0428571428571	-29.5857142857143	-48.0857142857143	-44.3571428571429	-46.6142857142857	-56.8571428571429
2020/08/26	-13.4	-20.6	-27.9428571428571	-25.8571428571429	-34.7285714285714	-33.7285714285714	-34.2142857142857	-29	-47.7428571428571	-43.9428571428571	-47.2285714285714	-56.6714285714286
2020/08/27	-13.6428571428571	-20.4	-27.7142857142857	-25.3714285714286	-34.3857142857143	-33.1571428571429	-34.8428571428571	-28.7	-47.5	-43.6571428571429	-47.9714285714286	-56.5428571428571
