# 感染拡大前比	神奈川県 横浜中華街駅	神奈川県 川崎駅	神奈川県 横浜駅	千葉県 千葉駅	神奈川県 みなとみらい	東京都 銀座	神奈川県 橋本駅	東京都 丸の内	東京都 東京駅南	栃木県 宇都宮オリオン通り	東京都 羽田空港 第1ターミナル	東京都 霞が関	千葉県 船橋駅	東京都 立川駅	栃木県 宇都宮駅	埼玉県 大宮駅西	東京都 新宿駅	東京都 大手町	東京都 渋谷センター街	東京都 羽田空港 第2ターミナル	東京都 品川駅	東京都 東京駅
2020/09/08	-7.6	-6.0	-6.0	-9.0	-26.7	-18.8	-15.9	-36.6	-27.2	-6.8	-31.4	-27.5	-13.1	-10.0	-19.5	-12.4	-19.1	-45.4	-25.0	-48.1	-42.4	-51.2
2020/09/09	-5.2	-2.5	-1.5	-5.4	-29.8	-18.4	-8.6	-35.5	-26.1	-10.2	-34.9	-26.6	-16.2	-9.3	-21.2	-16.0	-17.8	-45.0	-22.6	-47.0	-42.6	-51.4
2020/09/10	-6.0	-6.1	1.2	-4.9	-28.4	-16.6	-10.9	-34.9	-24.4	-4.3	-31.7	-26.1	-10.5	-7.2	-20.6	-10.2	-15.1	-44.9	-24.6	-46.8	-39.9	-49.7
2020/09/11	-4.5	-2.7	3.0	-0.4	-28.4	-17.6	-11.5	-33.5	-25.2	-7.4	-32.9	-28.0	-4.1	-4.8	-18.0	-7.1	-14.3	-46.1	-20.6	-45.3	-40.6	-50.4
2020/09/12	-27.1	-0.7	0.5	-2.5	-26.4	-7.7	-10.9	-11.9	-13.6	-12.6	-38.7	-17.1	-12.2	-13.3	-14.7	-13.8	-18.9	-31.8	-30.1	-49.4	-36.0	-62.2
2020/09/13	-16.2	3.8	-1.0	-4.3	-10.6	-14.3	-14.2	-14.1	-17.6	-22.5	-36.1	-26.3	-19.6	-15.4	-24.2	-15.8	-18.4	-45.9	-28.3	-45.7	-39.5	-63.2
2020/09/14	-9.5	-5.3	-3.8	-7.2	-28.6	-19.5	-16.5	-37.1	-25.6	-11.7	-30.5	-26.9	-8.7	-9.6	-20.1	-13.5	-18.4	-45.9	-24.4	-47.9	-43.2	-50.1
2020/09/15	-8.8	-5.4	-1.8	-0.6	-25.6	-19.3	-13.9	-35.4	-26.2	-11.3	-33.1	-24.8	-5.9	-5.7	-17.7	-11.2	-14.0	-43.8	-23.6	-44.6	-42.4	-49.4
2020/09/16	-4.3	-0.6	-1.2	-4.3	-29.3	-17.6	-7.9	-33.6	-23.0	-20.7	-30.1	-26.7	-5.9	-6.8	-20.9	-9.3	-14.6	-43.5	-22.7	-40.5	-40.5	-50.0
2020/09/17	-5.5	-3.2	-0.1	-2.9	-24.4	-18.3	-13.6	-31.2	-22.9	-4.4	-27.5	-25.3	-8.0	-6.9	-21.2	-9.7	-14.2	-43.7	-21.4	-39.9	-41.4	-47.7
2020/09/18	-3.2	-0.6	2.9	3.3	-26.7	-15.8	-5.5	-31.7	-20.0	-3.6	-17.0	-28.1	-4.5	-6.9	-14.9	-6.9	-11.6	-44.2	-21.3	-36.7	-40.1	-46.7
2020/09/19	-2.2	5.0	8.5	3.3	-17.7	1.5	-13.3	-3.3	-1.2	-8.3	-1.5	-13.3	-10.0	-11.3	-5.5	-8.9	-10.2	-24.9	-25.8	-28.7	-29.8	-54.1
2020/09/20	17.5	10.1	9.0	0.3	-2.1	-7.8	-9.3	-8.8	-8.7	-7.6	-34.7	-22.2	-18.9	-14.5	-12.1	-14.8	-14.3	-39.7	-23.1	-42.1	-34.4	-57.2
2020/09/21	33.4	5.0	4.7	-1.1	4.4	0.0	-16.9	-0.3	-5.8	-17.2	-21.1	-1.9	-19.1	-14.6	-10.1	-14.3	-14.9	-16.3	-28.1	-34.0	-25.0	-52.8
2020/09/22	-0.5	-2.0	-4.0	-15.0	-14.4	-8.0	-21.9	-6.9	-11.1	-28.5	-3.6	-5.8	-19.6	-18.4	-21.7	-13.4	-21.4	-20.2	-31.8	-24.7	-26.2	-54.6
2020/09/23	-9.2	-4.9	-5.1	-6.5	-29.4	-18.2	-18.7	-35.2	-26.5	-10.4	-21.3	-27.6	-14.9	-11.9	-14.7	-14.7	-17.4	-42.9	-23.4	-40.0	-40.5	-47.7
2020/09/24	-11.9	-10.0	-10.2	-13.4	-32.6	-22.3	-14.6	-38.8	-30.4	-9.8	-34.3	-30.7	-13.5	-14.9	-20.0	-19.7	-22.5	-46.2	-27.8	-48.9	-45.4	-51.7
2020/09/25	-7.4	0.3	0.0	-0.8	-26.4	-15.5	-10.9	-31.8	-21.7	-8.1	-28.7	-26.7	-2.4	-8.3	-19.6	-12.9	-11.9	-42.6	-21.6	-41.4	-38.5	-47.6
2020/09/26	-18.0	5.9	5.6	3.2	-23.8	1.4	-12.0	-9.9	-7.5	-12.2	-34.9	-18.0	-5.8	-12.8	-12.1	-9.1	-14.4	-25.8	-20.9	-48.6	-30.9	-58.3
2020/09/27	-4.5	3.1	-2.7	-3.0	-7.5	-13.8	-9.4	-14.0	-16.0	-19.2	-30.6	-28.8	-14.3	-18.0	-21.9	-18.1	-15.0	-41.1	-23.8	-46.8	-41.2	-61.8
2020/09/28	-6.9	-1.8	-0.9	-0.9	-23.1	-17.9	-11.2	-33.9	-23.2	-7.5	-28.8	-26.2	-2.3	-10.4	-6.1	-12.3	-13.9	-43.3	-23.9	-39.3	-39.1	-48.0
2020/09/29	-3.2	-2.6	0.5	-2.0	-25.8	-17.4	-7.7	-33.7	-24.0	-5.1	-28.2	-24.7	-3.1	-9.6	-18.7	-10.0	-15.1	-42.5	-23.0	-45.1	-40.0	-46.7
2020/09/30	2.0	0.8	1.2	-0.9	-23.0	-14.1	-9.9	-28.7	-19.0	-10.1	-24.7	-22.9	-5.9	-8.1	-18.3	-10.8	-11.5	-40.5	-20.7	-42.1	-36.2	-47.2
2020/10/01	2.8	-2.0	-4.3	-2.1	-24.6	-13.7	-5.9	-31.3	-20.0	-2.3	-29.5	-21.0	-5.9	-8.9	-18.5	-13.1	-15.0	-39.3	-21.7	-42.4	-34.7	-46.1
