# 感染拡大前比	神奈川県 横浜中華街駅	神奈川県 横浜駅	神奈川県 川崎駅	千葉県 千葉駅	千葉県 船橋駅	東京都 立川駅	東京都 銀座	神奈川県 橋本駅	栃木県 宇都宮オリオン通り	埼玉県 大宮駅西	東京都 東京駅南	東京都 新宿駅	栃木県 宇都宮駅	神奈川県 みなとみらい	東京都 丸の内	東京都 霞が関	東京都 羽田空港 第1ターミナル	東京都 渋谷センター街	東京都 大手町	東京都 品川駅	東京都 羽田空港 第2ターミナル	東京都 東京駅
2020/05/28	-32.8285714285714	-52.6142857142857	-44	-36.3428571428571	-36.9285714285714	-46.6142857142857	-55.1571428571429	-31.1428571428571	-24.1857142857143	-52.7714285714286	-64.6714285714286	-61.2714285714286	-38.0428571428571	-68.5285714285714	-72.5714285714286	-57	-64.8571428571429	-61.0857142857143	-67.9142857142857	-64.8714285714286	-73.2428571428571	-71.8857142857143
2020/05/29	-32.0714285714286	-50.0857142857143	-41.9857142857143	-32.3	-33.7571428571429	-45.4	-53.8285714285714	-30.0285714285714	-23.4428571428571	-51.1142857142857	-63.7714285714286	-59.6428571428572	-38.0285714285714	-66.7	-71.7857142857143	-56.0571428571429	-64.6714285714286	-59.6	-67.1428571428572	-64.1428571428572	-72.7428571428571	-70.9714285714286
2020/05/30	-31.0714285714286	-47.3857142857143	-39.1857142857143	-28.7142857142857	-30.4714285714286	-44.0142857142857	-51.9571428571429	-28.7428571428571	-22.3857142857143	-49.4142857142857	-62.4	-57.6714285714286	-37.3285714285714	-64.6428571428572	-70.8428571428571	-55.1142857142857	-63.9857142857143	-57.8285714285714	-66.2142857142857	-62.9428571428571	-72.8714285714286	-69.5714285714286
2020/05/31	-29.3857142857143	-44.0714285714286	-34.7285714285714	-25.8714285714286	-27.4714285714286	-41.6857142857143	-47.6714285714286	-27.1571428571429	-21.9571428571429	-48.0142857142857	-60.5	-54.4	-36.2	-59.6714285714286	-68.8	-54.4714285714286	-63.4428571428571	-56.0571428571429	-63.7857142857143	-62.1857142857143	-72.5714285714286	-67.1714285714286
2020/06/01	-28.7	-41.1285714285714	-30.4428571428571	-23.7285714285714	-24.3571428571429	-39.3285714285714	-44.3285714285714	-25.9285714285714	-21.9428571428571	-46.9142857142857	-58.9571428571429	-51.5	-35.6714285714286	-55.6428571428571	-67.4142857142857	-53.7571428571429	-63.2428571428571	-54.4714285714286	-62.0285714285714	-61.0285714285714	-71.9428571428572	-64.9571428571428
2020/06/02	-27.6142857142857	-37.9857142857143	-26.5714285714286	-21.9714285714286	-22.4285714285714	-36.8	-41.0285714285714	-24.1714285714286	-21.1571428571429	-44	-56.7714285714286	-47.8857142857143	-35.1142857142857	-52.6285714285714	-65.0285714285714	-51.5571428571429	-60.8428571428571	-51.7571428571429	-59.8285714285714	-58.6428571428571	-70.3428571428571	-62.3857142857143
2020/06/03	-25.7857142857143	-34.7857142857143	-22.9	-20.5428571428571	-20.7	-34.4857142857143	-37.9571428571429	-22.3571428571429	-20.3714285714286	-41.5714285714286	-54.6571428571429	-44.5857142857143	-34.3	-49.7571428571429	-62.9571428571429	-49.7571428571429	-59.9428571428571	-49.0428571428571	-58.0285714285714	-56.9428571428571	-69.1857142857143	-60.2428571428571
2020/06/04	-25.0571428571429	-31.8714285714286	-20.0142857142857	-19.4857142857143	-20.9714285714286	-31.1142857142857	-35.1428571428571	-21.2857142857143	-19.9571428571429	-38.2571428571429	-52.6428571428571	-41.0857142857143	-32.5142857142857	-47.1714285714286	-60.9857142857143	-48.0714285714286	-59.1857142857143	-46.7571428571429	-56.4	-55.1571428571429	-67.9571428571429	-58.4
2020/06/05	-23.9428571428571	-29.3285714285714	-17.5	-18.3142857142857	-20.4	-28.2428571428571	-32.6714285714286	-20.3285714285714	-19.4428571428571	-35.1285714285714	-50.7285714285714	-37.9571428571429	-31.4285714285714	-45.4571428571429	-59.1428571428571	-46.6	-58.0428571428571	-44.6285714285714	-54.9714285714286	-53.6285714285714	-66.4428571428571	-56.5571428571429
2020/06/06	-23.4571428571429	-26.6428571428571	-15.5	-16.7571428571429	-19.9142857142857	-25.7	-30.7	-19.3142857142857	-19.5571428571429	-32.1285714285714	-49.3857142857143	-35.1714285714286	-31	-44.2	-57.6285714285714	-45.2714285714286	-57.4	-42.7428571428571	-53.6857142857143	-52.4428571428571	-65.4571428571429	-55.0571428571429
